name,l,b,n16,n50,n84,f16,f50,f84,m16,m50,m84,d16,d50,d84,p16,p50,p84,sfore16,sfore50,sfore84,sback16,sback50,sback84,mdwarf,new,Extinction,X,Y,Z,Vrad_observed,Vrad_observed_err,Vrad_predicted,Odds,ra,dec,rawwt
L1228,111.8,20.3,0.4839,0.4939,0.5036,0.1808,0.2429,0.3124,7.7886,7.822,7.8554,361,366,372,0.0302,0.0392,0.0517,0.0322,0.0399,0.0494,0.1014,0.1082,0.1156,0,1,2.25,-127,318,126,-7.8,0.064,-3.3,20.03140629,314.3325761,77.74217873,134.33257609999998
L1228D,112.3,13.8,0.6157,0.6203,0.625,0.1483,0.3163,0.3195,7.6011,8.4584,8.5423,331,491,511,0.0161,0.0196,0.0238,0.0292,0.0502,0.063,0.0567,0.0587,0.0606,0,1,1.28,-180,441,117,-3.9,0.07,-4.9,4.881255349,334.069629,73.38097411,154.06962900000008
L1251,114.6,14.5,0.4421,0.4509,0.4626,0.3137,0.3778,0.3888,7.6921,7.7289,7.7924,345,351,361,0.0522,0.0662,0.0874,0.0319,0.0394,0.0487,0.09,0.0957,0.1008,0,1,1.55,-141,308,87,-4.3,0.037,-3.6,23.7201923,339.6075399,75.17562787,159.6075399
L1265,115.9,-2.0,0.4636,0.4666,0.4696,0.2876,0.401,0.5757,7.4802,7.689,7.8905,313,344,378,0.0246,0.0312,0.0388,0.0299,0.0396,0.0526,0.1102,0.1131,0.1158,0,1,2.85,-150,309,-12,-2.8,0.05,-3.8,8.110474381,358.6545338,60.09370499,178.65453380000008
L1333,128.9,13.7,0.4694,0.4755,0.4818,0.3167,0.3215,0.3261,7.2406,7.259,7.2879,280,283,286,0.03,0.0373,0.0459,0.0365,0.0414,0.0473,0.0466,0.0492,0.0519,1,1,1.3,-172,213,67,,,-3.7,24.25198801,36.58651809,75.46054089,216.58651809
L1616,203.5,-24.8,0.5938,0.6046,0.6156,0.15,0.187,0.1914,7.9281,7.9673,8.0137,385,392,400,0.0233,0.029,0.0364,0.0195,0.0232,0.0275,0.0463,0.0488,0.0516,0,1,0.76,-326,-141,-164,,,3.6,22.02903115,76.63385769,-3.374746961,256.63385769
L1617,203.5,-12.0,0.5713,0.5748,0.5781,0.1267,0.1561,0.1863,8.0402,8.0857,8.1138,405,414,419,0.0283,0.0344,0.0404,0.0173,0.0205,0.0241,0.0532,0.0552,0.0571,0,1,1.84,-371,-161,-86,8.8,0.038,4.1,16.17078066,87.88274637,2.742988619,267.88274637
L1622,204.7,-11.8,0.4962,0.502,0.5077,0.1608,0.2405,0.3319,8.0177,8.1105,8.1963,401,418,435,0.0306,0.0397,0.0521,0.0283,0.0407,0.0528,0.112,0.1174,0.1227,0,1,3.14,-371,-170,-85,,,4.3,15.69842848,88.61680758,1.804488954,268.61680758
L1634,207.6,-23.2,0.6164,0.6251,0.6336,0.2503,0.2544,0.2579,7.8839,7.9523,8.0801,377,389,413,0.0178,0.0225,0.0285,0.0354,0.0416,0.0496,0.0536,0.0563,0.0591,0,1,1.03,-316,-165,-153,,,4.1,21.6516826,79.80178601,-5.947454607,259.80178601
L1634,207.6,-22.8,0.5816,0.5928,0.6034,0.187,0.191,0.1946,7.7307,7.8113,7.9182,351,364,383,0.0252,0.0311,0.0385,0.0353,0.0425,0.0507,0.0506,0.0531,0.0558,0,1,0.78,-297,-155,-141,,,3.8,19.67225276,80.15997057,-5.765686249,260.15997057
L977,89.8,2.2,0.3449,0.3468,0.3487,0.5172,0.5632,0.6105,8.9851,9.0377,9.093,626,642,658,0.0214,0.0273,0.0342,0.0489,0.0544,0.0609,0.1415,0.1444,0.1473,0,1,3.95,2,641,24,0.0,0.064,-0.3,23.17908112,315.3188094,49.66239109,135.31880940000002
L977,89.5,2.0,0.3477,0.3495,0.3513,0.6403,0.6853,0.7325,9.0595,9.098,9.1493,648,660,675,0.0247,0.0314,0.0398,0.0494,0.0549,0.0607,0.1379,0.141,0.144,0,1,4.22,5,659,23,0.1,0.064,-0.3,22.9659206,315.2459284,49.30512752,135.24592840000003
L988,90.7,2.4,0.3421,0.3441,0.3461,0.5243,0.5665,0.6092,8.9661,8.987,9.0089,621,627,633,0.0458,0.0594,0.0745,0.0572,0.062,0.0675,0.1633,0.1668,0.1707,0,1,4.45,-7,626,26,-1.7,0.065,-0.6,22.57878967,316.0143569,50.46822449,136.0143569
L988,90.2,2.3,0.3518,0.3537,0.3556,0.3766,0.4039,0.4327,8.9144,8.9361,8.9614,606,612,619,0.0479,0.0592,0.0718,0.0302,0.0339,0.0382,0.1384,0.1418,0.1454,0,1,4.09,-2,611,24,-1.0,0.058,-0.4,22.96087682,315.6122184,50.02839013,135.61221840000002
LBN906,202.2,-31.4,0.7,0.727,0.7548,0.1071,0.1117,0.1162,7.2664,7.2932,7.3276,283,287,292,0.019,0.0242,0.031,0.0154,0.0177,0.0205,0.0256,0.0279,0.0302,1,1,0.45,-226,-92,-149,,,2.4,8.803782821,70.26689482,-5.51546455,250.26689482
LBN917,203.7,-30.3,0.725,0.7423,0.7589,0.141,0.1455,0.1492,6.7745,6.8297,6.8992,226,232,239,0.0261,0.0332,0.0419,0.0223,0.0271,0.0329,0.0225,0.0253,0.0283,1,1,0.59,-183,-80,-117,,,2.0,4.904249258,71.85336326,-6.1296845,251.85336325999998
